date,age,all,male,female
"January 1, 2000","0",3803453,1947719,1855734
"January 1, 2000","1",3816646,1951304,1865342
"January 1, 2000","2",3773178,1929817,1843361
"January 1, 2000","3",3840163,1963473,1876690
"January 1, 2000","4",3924534,2009608,1914926
"January 1, 2000","5",3984021,2040493,1943528
"January 1, 2000","6",4024543,2061740,1962803
"January 1, 2000","7",4134443,2117611,2016832
"January 1, 2000","8",4171709,2133163,2038546
"January 1, 2000","9",4264360,2185397,2078963
"January 1, 2000","10",4230386,2168849,2061537
"January 1, 2000","11",4093175,2096683,1996492
"January 1, 2000","12",4049448,2074088,1975360
"January 1, 2000","13",3991142,2043684,1947458
"January 1, 2000","14",4062456,2085078,1977378
"January 1, 2000","15",3993157,2051531,1941626
"January 1, 2000","16",3981264,2052133,1929131
"January 1, 2000","17",4075591,2105486,1970105
"January 1, 2000","18",3892332,1985635,1906697
"January 1, 2000","19",4146489,2093531,2052958
"January 1, 2000","20",3915141,1976777,1938364
"January 1, 2000","21",3712547,1872273,1840274
"January 1, 2000","22",3681044,1856205,1824839
"January 1, 2000","23",3559089,1795039,1764050
"January 1, 2000","24",3571023,1798645,1772378
"January 1, 2000","25",3672923,1849529,1823394
"January 1, 2000","26",3572962,1791145,1781817
"January 1, 2000","27",3801275,1905764,1895511
"January 1, 2000","28",3941263,1967815,1973448
"January 1, 2000","29",4254037,2123715,2130322
"January 1, 2000","30",4201995,2115365,2086630
"January 1, 2000","31",3937930,1968923,1969007
"January 1, 2000","32",3967105,1981555,1985550
"January 1, 2000","33",3974353,1976206,1998147
"January 1, 2000","34",4231254,2110009,2121245
"January 1, 2000","35",4515084,2249487,2265597
"January 1, 2000","36",4468588,2209963,2258625
"January 1, 2000","37",4560546,2258744,2301802
"January 1, 2000","38",4365393,2157621,2207772
"January 1, 2000","39",4736176,2342920,2393256
"January 1, 2000","40",4636483,2303312,2333171
"January 1, 2000","41",4415118,2179792,2235326
"January 1, 2000","42",4532247,2244095,2288152
"January 1, 2000","43",4346766,2137532,2209234
"January 1, 2000","44",4310538,2131104,2179434
"January 1, 2000","45",4307698,2128956,2178742
"January 1, 2000","46",4023640,1973975,2049665
"January 1, 2000","47",4072593,2000633,2071960
"January 1, 2000","48",3680180,1803841,1876339
"January 1, 2000","49",3890850,1911876,1978974
"January 1, 2000","50",3746156,1836871,1909285
"January 1, 2000","51",3617176,1768121,1849055
"January 1, 2000","52",3792813,1859377,1933436
"January 1, 2000","53",3291938,1605689,1686249
"January 1, 2000","54",2892617,1412378,1480239
"January 1, 2000","55",2835090,1377522,1457568
"January 1, 2000","56",2878912,1395822,1483090
"January 1, 2000","57",2820128,1362485,1457643
"January 1, 2000","58",2439880,1172212,1267668
"January 1, 2000","59",2384149,1144601,1239548
"January 1, 2000","60",2307048,1104527,1202521
"January 1, 2000","61",2208265,1055323,1152942
"January 1, 2000","62",2141096,1019098,1121998
"January 1, 2000","63",2045787,967454,1078333
"January 1, 2000","64",2057386,966944,1090442
"January 1, 2000","65",1994551,933585,1060966
"January 1, 2000","66",1861037,863707,997330
"January 1, 2000","67",1914140,881318,1032822
"January 1, 2000","68",1866063,856310,1009753
"January 1, 2000","69",1904863,867606,1037257
"January 1, 2000","70",1871126,840143,1030983
"January 1, 2000","71",1798289,802794,995495
"January 1, 2000","72",1785616,786484,999132
"January 1, 2000","73",1717861,748131,969730
"January 1, 2000","74",1690634,722627,968007
"January 1, 2000","75",1650457,695132,955325
"January 1, 2000","76",1550745,645326,905419
"January 1, 2000","77",1473426,605532,867894
"January 1, 2000","78",1427387,577777,849610
"January 1, 2000","79",1301829,515374,786455
"January 1, 2000","80",1197861,462953,734908
"January 1, 2000","81",1066033,403284,662749
"January 1, 2000","82",979704,364550,615154
"January 1, 2000","83",880036,315548,564488
"January 1, 2000","84",802873,279166,523707
"January 1, 2000","85",726094,242858,483236
"January 1, 2000","86",632874,203817,429057
"January 1, 2000","87",550951,171556,379395
"January 1, 2000","88",464939,138564,326375
"January 1, 2000","89",400877,113529,287348
"January 1, 2000","90",325719,88900,236819
"January 1, 2000","91",266325,68862,197463
"January 1, 2000","92",216653,54020,162633
"January 1, 2000","93",168821,39564,129257
"January 1, 2000","94",132885,29948,102937
"January 1, 2000","95",97375,20930,76445
"January 1, 2000","96",72361,14621,57740
"January 1, 2000","97",52195,10201,41994
"January 1, 2000","98",36892,6957,29935
"January 1, 2000","99",26984,5148,21836
"January 1, 2000","100+",49940,9863,40077
